Id Inscripció,Nom,Nom Lliga,Territorial de la competició,Entitat,Territorial del club,Estat,Codi Lliga,Data Pagament Albara,Data Introducció,Accés a les fases,Is Impresa?,Nivell,Pista joc,Núm. sorteig,Modalitat,Categoria,Subcategoria,Dia partit,Horari partit,Observacions,Grups,Email
225060,"Barcelona Dragons Club Deportivo ""A""",FUTBOL 7 CADET MIXT 2ª FASE CEEB,,Barcelona Dragons Club Deportivo,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,Camp Municipal de Futbol Canyelles,,FUTBOL 7,CADET,MIXT,Dissabte,10:00 h,,,homodj.cat@gmail.com
225059,"UTE Dar Chabab- La casa del joves ""E""",FUTBOL 5 LLIGA JOVE MIXT 2ª FASE CEEB,,UTE Dar Chabab- La casa del joves,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell A,Institut Pau Claris,Indiferent,FUTBOL 5,SÈNIOR,MIXT,Dijous,18:00 h,,FUTBOL 5 LLIGA JOVE MIXT GRUP 05 1a FASE CEEB,nrecio@ute-darchabab.org
225058,"Fundació apip-acam (Maria Feixa) ""A""",FUTBOL 5 LLIGA JOVE MIXT 2ª FASE CEEB,,Fundació apip-acam (Maria Feixa),Genèrica,Preinscrita,,,2025-12-18,,0,Nivell A,Pista Municipal Montbau,Indiferent,FUTBOL 5,SÈNIOR,MIXT,Dijous,19:00 h,,FUTBOL 5 LLIGA JOVE MIXT GRUP 05 1a FASE CEEB,landingcam777@gmail.com
225056,"Fundacion Bayt Al-Thaqafa ""A""",FUTBOL 5 LLIGA JOVE MIXT 2ª FASE CEEB,,Fundacion Bayt Al-Thaqafa,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell A,Institut Consell de Cent,Indiferent,FUTBOL 5,SÈNIOR,MIXT,Dijous,19:30 h,,FUTBOL 5 LLIGA JOVE MIXT GRUP 05 1a FASE CEEB,Bosance41@gmail.com
225055,"Club Esportiu Fabra i Coats ""H""",FUTBOL 5 LLIGA JOVE MIXT 2ª FASE CEEB,,Club Esportiu Fabra i Coats,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,Esglèsia de Sant Pacià,Indiferent,FUTBOL 5,SÈNIOR,MIXT,Dimarts,19:15 h,,FUTBOL 5 LLIGA JOVE MIXT GRUP 05 1a FASE CEEB,coordinacio@cefabraicoats.cat
225054,"Associacio Sociocultural la Cosa Nostra ""A""",FUTBOL 5 LLIGA JOVE MIXT 2ª FASE CEEB,,Associacio Sociocultural la Cosa Nostra,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell A,Pista Municipal Montbau,Indiferent,FUTBOL 5,SÈNIOR,MIXT,Dijous,19:00 h,,FUTBOL 5 LLIGA JOVE MIXT GRUP 05 1a FASE CEEB,lcncanpeguera@gmail.com
225053,"CA Mas pins (Fundació Ciutat i Valors) ""A""",FUTBOL 5 LLIGA JOVE MIXT 2ª FASE CEEB,,CA Mas pins (Fundació Ciutat i Valors),Genèrica,Preinscrita,,,2025-12-18,,0,Nivell A,Pista Municipal Montbau,Indiferent,FUTBOL 5,SÈNIOR,MIXT,Dijous,18:00 h,,FUTBOL 5 LLIGA JOVE MIXT GRUP 05 1a FASE CEEB,lounes71@gmail.com
225052,"Suara Serveis, SCCL (CAI Zona Franca) ""E""",FUTBOL 5 LLIGA JOVE MIXT 2ª FASE CEEB,,"Suara Serveis, SCCL (CAI Zona Franca)",Genèrica,Preinscrita,,,2025-12-18,,0,Nivell A,Suara coop.,Indiferent,FUTBOL 5,SÈNIOR,MIXT,Dilluns,18:00 h,,FUTBOL 5 LLIGA JOVE MIXT GRUP 04 1a FASE CEEB,danielgarciac@suara.coop
225051,"Sport2live ""E""",FUTBOL 5 LLIGA JOVE MIXT 2ª FASE CEEB,,Sport2live,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell A,Pista Municipal Montbau,Indiferent,FUTBOL 5,SÈNIOR,MIXT,Dilluns,19:15 h,,FUTBOL 5 LLIGA JOVE MIXT GRUP 04 1a FASE CEEB,ymerounehimad@sport2live.org
225050,Zing - Cet 10,FUTBOL 5 LLIGA JOVE MIXT 2ª FASE CEEB,,Col·lectiu d'Esport per a tothom CET10 CLUB (FPC CET 10),Genèrica,Preinscrita,,,2025-12-18,,0,Nivell A,Escola Provençals,Indiferent,FUTBOL 5,SÈNIOR,MIXT,Dilluns,20:00 h,,FUTBOL 5 LLIGA JOVE MIXT GRUP 04 1a FASE CEEB,yassin.boussaid.lazizi2004@gmail.com
225049,"Fundación Barcelonactua ""A""",FUTBOL 5 LLIGA JOVE MIXT 2ª FASE CEEB,,Fundación Barcelonactua,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell A,Pista Municipal Montbau,Indiferent,FUTBOL 5,SÈNIOR,MIXT,Dilluns,20:15 h,,FUTBOL 5 LLIGA JOVE MIXT GRUP 04 1a FASE CEEB,landingcam777@gmail.com
225048,CEE Llevant - Maregassa,FUTBOL 5 JUVENIL MIXT 2ª FASE CEEB,,CEE Maregassa,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,CEM Bogatell,,FUTBOL 5,JUVENIL,MIXT,Divendres,10:00 h,,FUTBOL 5 SENSE BARRERES JUVENIL MIXT GRUP 06 1a FASE CEEB,patxi.oliver@imspbdn.cat
225046,Escola Lexia CIATE,BÀSQUET JUVENIL MIXT 2ª FASE CEEB,,Escola Lexia,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,CEM La Mar Bella,,BÀSQUET,JUVENIL,MIXT,Dimarts,10:00 h,,BÀSQUET SENSE BARRERES JUVENIL MIXT GRUP 03 1a FASE CEEB,gerard.ordinana@gmail.com
225045,"Escola Especialitzada La Sagrera ""B""",FUTBOL 5 JUVENIL MIXT 2ª FASE CEEB,,Escola Especialitzada La Sagrera,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,CEM Bogatell,,FUTBOL 5,JUVENIL,MIXT,Divendres,10:00 h,,FUTBOL 5 SENSE BARRERES JUVENIL MIXT GRUP 06 1a FASE CEEB,lopesruis@hotmail.com
225044,"Escola Especialitzada La Sagrera ""A""",FUTBOL 5 JUVENIL MIXT 2ª FASE CEEB,,Escola Especialitzada La Sagrera,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,CEM Bogatell,,FUTBOL 5,JUVENIL,MIXT,Divendres,10:00 h,,FUTBOL 5 SENSE BARRERES JUVENIL MIXT GRUP 06 1a FASE CEEB,lopesruis@hotmail.com
225043,Escola Especialitzada La Sagrera,BÀSQUET JUVENIL MIXT 2ª FASE CEEB,,Escola Especialitzada La Sagrera,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,CEM La Mar Bella,,BÀSQUET,JUVENIL,MIXT,Dimarts,10:00 h,,BÀSQUET SENSE BARRERES JUVENIL MIXT GRUP 03 1a FASE CEEB,lopesruis84@gmail.com
225041,CEBLL (CEE Balmes -I),BÀSQUET JUVENIL MIXT 2ª FASE CEEB,,CEE Balmes -I,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,CEM La Mar Bella,,BÀSQUET,JUVENIL,MIXT,Dimarts,10:00 h,,BÀSQUET SENSE BARRERES JUVENIL MIXT GRUP 03 1a FASE CEEB,agomez@ibalmes.org
225040,CEBLL (CEE Balmes -I),FUTBOL 5 JUVENIL MIXT 2ª FASE CEEB,,CEE Balmes -I,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,CEM Bogatell,,FUTBOL 5,JUVENIL,MIXT,Divendres,10:00 h,,FUTBOL 5 SENSE BARRERES JUVENIL MIXT GRUP 06 1a FASE CEEB,agomez@ibalmes.org
225039,Fundació Friends,BÀSQUET JUVENIL MIXT 2ª FASE CEEB,,Fundació Friends,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,CEM La Mar Bella,,BÀSQUET,JUVENIL,MIXT,Dimarts,10:00 h,,BÀSQUET SENSE BARRERES JUVENIL MIXT GRUP 03 1a FASE CEEB,lleure@fundaciofriends.org
225038,"Fundació Friends ""B""",FUTBOL 5 JUVENIL MIXT 2ª FASE CEEB,,Fundació Friends,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,CEM Bogatell,,FUTBOL 5,JUVENIL,MIXT,Divendres,10:00 h,,FUTBOL 5 SENSE BARRERES JUVENIL MIXT GRUP 06 1a FASE CEEB,lleure@fundaciofriends.org
225037,"Fundació Friends ""A""",FUTBOL 5 JUVENIL MIXT 2ª FASE CEEB,,Fundació Friends,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,CEM Bogatell,,FUTBOL 5,JUVENIL,MIXT,Divendres,10:00 h,,FUTBOL 5 SENSE BARRERES JUVENIL MIXT GRUP 06 1a FASE CEEB,lleure@fundaciofriends.org
225036,"Associació Superacció ""A""",FUTBOL 5 LLIGA JOVE MIXT 2ª FASE CEEB,,Associació Superacció,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell A,Escola Pit Roig,Indiferent,FUTBOL 5,SÈNIOR,MIXT,Dimecres,20:15 h,,FUTBOL 5 LLIGA JOVE MIXT GRUP 04 1a FASE CEEB,dhernandez@superaccio.org
225035,Escola Lexia CIATE,FUTBOL 5 JUVENIL MIXT 2ª FASE CEEB,,Escola Lexia,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,CEM Bogatell,,FUTBOL 5,JUVENIL,MIXT,Divendres,10:00 h,,FUTBOL 5 SENSE BARRERES JUVENIL MIXT GRUP 06 1a FASE CEEB,gerard.ordinana@gmail.com
225034,Escola Lexia,FUTBOL 5 JUVENIL MIXT 2ª FASE CEEB,,Escola Lexia,Genèrica,Preinscrita,,,2025-12-18,,0,Nivell C,CEM Bogatell,,FUTBOL 5,JUVENIL,MIXT,Divendres,10:00 h,,FUTBOL 5 SENSE BARRERES JUVENIL MIXT GRUP 06 1a FASE CEEB,mperar10@xtec.cat
225017,Barcelona High School,FUTBOL 5 JUVENIL FEMENÍ COPA CEEB 25-26,,Barcelona High School,Genèrica,Validada,,,2025-12-18,,0,Nivell A,CEM La Mar Bella,,FUTBOL 5,JUVENIL,FEMENÍ,Dissabte,12:00 h,,FUTBOL 5 JUVENIL FEMENÍ COPA CEEB 25-26,hayley@barcelonahighschool.com
225016,"CET10 CLUB (FPC CET 10) ""A""",FUTBOL 5 JUVENIL FEMENÍ COPA CEEB 25-26,,Col·lectiu d'Esport per a tothom CET10 CLUB (FPC CET 10),Genèrica,Validada,,,2025-12-18,,0,Nivell A,Escola Brasil,7,FUTBOL 5,INFANTIL,FEMENÍ,Divendres,20:00 h,,"FUTBOL 5 INFANTIL FEMENÍ COPA CEEB 25-26, FUTBOL 5 INFANTIL FEMENÍ GRUP 01 1a FASE CEEB, FUTBOL 5 JUVENIL FEMENÍ COPA CEEB 25-26",xredon@cet10.com
224982,"S.E Escuelas Salesianas San José ""Negre""",BÀSQUET CADET MIXT 2ª FASE CEEB,,S.E Escuelas Salesianas San José,Genèrica,Facturada,,,2025-12-17,,1,Nivell E,Col·legi Salesians Bosco Rocafort,Casa,BÀSQUET,CADET,MIXT,Dissabte,09:30 h,,,boscobq@naifarlleure.es
224981,"S.E Escuelas Salesianas San José ""Vermell""",BÀSQUET PREBENJAMÍ MIXT 2ª FASE CEEB,,S.E Escuelas Salesianas San José,Genèrica,Facturada,,,2025-12-17,,1,Nivell E,Col·legi Salesians Bosco Rocafort,5,BÀSQUET,PREBENJAMÍ,MIXT,Divendres,18:15 h,,BÀSQUET PREBENJAMÍ MIXT GRUP 03 1a FASE CEEB,boscobq@naifarlleure.es
224980,"S.E Escuelas Salesianas San José ""Vermell""",BÀSQUET BENJAMÍ MIXT 2ª FASE CEEB,,S.E Escuelas Salesianas San José,Genèrica,Facturada,,,2025-12-17,,1,Nivell E,Col·legi Salesians Bosco Rocafort,1,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:15 h,,BÀSQUET BENJAMÍ MIXT GRUP 07 1a FASE CEEB,boscobq@naifarlleure.es
224979,"S.E Escuelas Salesianas San José ""Vermell""",BÀSQUET ALEVÍ FEMENÍ 2ª FASE CEEB,,S.E Escuelas Salesianas San José,Genèrica,Facturada,,,2025-12-17,,1,Nivell E,Col·legi Salesians Bosco Rocafort,1,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,19:45 h,,BÀSQUET ALEVÍ FEMENÍ GRUP 03 1a FASE CEEB,boscobq@naifarlleure.es
224978,"S.E Escuelas Salesianas San José ""Vermell""",BÀSQUET ALEVÍ MIXT 2ª FASE CEEB,,S.E Escuelas Salesianas San José,Genèrica,Facturada,,,2025-12-17,,1,Nivell E,Col·legi Salesians Bosco Rocafort,1,BÀSQUET,ALEVÍ,MIXT,Divendres,19:45 h,,BÀSQUET ALEVÍ MIXT GRUP 04 1a FASE CEEB,boscobq@naifarlleure.es
224977,"S.E Escuelas Salesianas San José ""Vermell""",BÀSQUET LLIGA JOVE FEMENÍ 2ª FASE CEEB,,S.E Escuelas Salesianas San José,Genèrica,Facturada,,,2025-12-17,,1,Nivell E,Col·legi Salesians Bosco Rocafort,1,BÀSQUET,SÈNIOR,FEMENÍ,Divendres,19:45 h,,BÀSQUET LLIGA JOVE FEMENÍ GRUP 01 1a FASE CEEB,boscobq@naifarlleure.es
224976,"S.E Escuelas Salesianas San José ""Negre""",BÀSQUET LLIGA JOVE MIXT 2ª FASE CEEB,,S.E Escuelas Salesianas San José,Genèrica,Facturada,,,2025-12-17,,1,Nivell D,Col·legi Salesians Bosco Rocafort,5,BÀSQUET,SÈNIOR,MIXT,Divendres,19:45 h,,BÀSQUET LLIGA JOVE MIXT GRUP 02 1a FASE CEEB,boscobq@naifarlleure.es
224934,Club Handbol Sant Andreu - PBM La Maquinista,HANDBOL PREBENJAMÍ MIXT 2ª FASE CEEB,,Club Handbol Sant Andreu,Genèrica,Facturada,,,2025-12-17,,1,Nivell B,Escola La Maquinista,2,HANDBOL,PREBENJAMÍ,MIXT,Dissabte,11:00 h,,,gerard.esparza@handbolsantandreu.org
224927,"Col·legi Canigó ""A""",BÀSQUET LLIGA JOVE FEMENÍ 2ª FASE CEEB,,Col·legi Canigó,Genèrica,Facturada,,,2025-12-17,,1,Nivell A,Col·legi Canigó,Casa,BÀSQUET,SÈNIOR,FEMENÍ,Dissabte,09:00 h,,,canigosports@fomento.edu
224919,"Golden Panthers ""A""",FUTBOL 7 PREBENJAMÍ MIXT 2ª FASE CEEB,,Golden Panthers,Genèrica,Facturada,,,2025-12-16,,1,Nivell D,Escolapis Sarrià,Casa,FUTBOL 7,PREBENJAMÍ,MIXT,Divendres,19:00 h,,,info@goldenpanthers.es
224918,Golden Panthers,FUTBOL 7 PREALEVÍ MIXT 2ª FASE CEEB,,Golden Panthers,Genèrica,Facturada,,,2025-12-16,,1,Nivell E,Escolapis Sarrià,Fora,FUTBOL 7,PREALEVÍ,MIXT,Divendres,19:00 h,,FUTBOL 7 PREALEVÍ MIXT GRUP 01 1a FASE CEEB,info@goldenpanthers.es
224917,"Golden Panthers ""A""",FUTBOL 7 BENJAMÍ MIXT 2ª FASE CEEB,,Golden Panthers,Genèrica,Facturada,,,2025-12-16,,1,Nivell C,Escolapis Sarrià,Fora,FUTBOL 7,BENJAMÍ,MIXT,Divendres,19:00 h,,FUTBOL 7 BENJAMÍ MIXT GRUP 02 1a FASE CEEB,info@goldenpanthers.es
224916,"Golden Panthers ""A""",FUTBOL 7 ALEVÍ MIXT 2ª FASE CEEB,,Golden Panthers,Genèrica,Facturada,,,2025-12-16,,1,Nivell B,Escolapis Sarrià,Casa,FUTBOL 7,ALEVÍ,MIXT,Divendres,19:00 h,,FUTBOL 7 ALEVÍ MIXT GRUP 01 1a FASE CEEB,info@goldenpanthers.es
224915,"Golden Panthers ""A""",FUTBOL 5 PREBENJAMÍ MIXT 2ª FASE CEEB,,Golden Panthers,Genèrica,Facturada,,,2025-12-16,,1,Nivell E,Col·legi Sagrat Cor de Sarrià,Casa,FUTBOL 5,PREBENJAMÍ,MIXT,Divendres,19:00 h,,FUTBOL 5 PREBENJAMÍ MIXT GRUP 08 1a FASE CEEB,info@goldenpanthers.es
224914,Lima-Horta Bàsquet,BÀSQUET BENJAMÍ FEMENÍ 2ª FASE CEEB,,Club Bàsquet Sta Rosa de Lima-Horta,Genèrica,Tramitada,,2025-12-16,2025-12-16,,1,Nivell C,Poliesportiu del Carmel,Casa,BÀSQUET,BENJAMÍ,FEMENÍ,Divendres,18:00 h,,BÀSQUET BENJAMÍ FEMENÍ GRUP 02 1a FASE CEEB,jfausma@hotmail.com
224913,"Lima-Horta Bàsquet ""Blau""",BÀSQUET BENJAMÍ MIXT 2ª FASE CEEB,,Club Bàsquet Sta Rosa de Lima-Horta,Genèrica,Tramitada,,2025-12-16,2025-12-16,,1,Nivell E,Poliesportiu del Carmel,Fora,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,Demanem que el premini Lima Horta Bàsquet BLAU estigui en l’últim grup (grup 7) ja que són nens que han començat a jugar a bàsquet a l’octubre i la gran majoria són prebenjamins.,BÀSQUET BENJAMÍ MIXT GRUP 02 1a FASE CEEB,jfausma@hotmail.com
224912,Lima-Horta Bàsquet,BÀSQUET BENJAMÍ MIXT 2ª FASE CEEB,,Club Bàsquet Sta Rosa de Lima-Horta,Genèrica,Tramitada,,2025-12-16,2025-12-16,,1,Nivell C,Poliesportiu del Carmel,Fora,BÀSQUET,BENJAMÍ,MIXT,Divendres,19:15 h,,BÀSQUET BENJAMÍ MIXT GRUP 04 1a FASE CEEB,jfausma@hotmail.com
224911,"Lima-Horta Bàsquet ""Salmó""",BÀSQUET BENJAMÍ FEMENÍ 2ª FASE CEEB,,Club Bàsquet Sta Rosa de Lima-Horta,Genèrica,Tramitada,,2025-12-16,2025-12-16,,1,Nivell B,FEDAC Horta,Casa,BÀSQUET,BENJAMÍ,FEMENÍ,Dissabte,09:00 h,,BÀSQUET BENJAMÍ FEMENÍ GRUP 01 1a FASE CEEB,jfausma@hotmail.com
224910,"Lima-Horta Bàsquet ""Salmó""",BÀSQUET BENJAMÍ MIXT 2ª FASE CEEB,,Club Bàsquet Sta Rosa de Lima-Horta,Genèrica,Tramitada,,2025-12-16,2025-12-16,,1,Nivell D,FEDAC Horta,Casa,BÀSQUET,BENJAMÍ,MIXT,Dissabte,09:00 h,,BÀSQUET BENJAMÍ MIXT GRUP 05 1a FASE CEEB,jfausma@hotmail.com
224884,"CE La Farga XXI ""A""",BÀSQUET CADET MIXT COPA CEEB 25-26,,CE La Farga XXI,Genèrica,Facturada,,,2025-12-16,,0,Nivell E,Col·legi La Farga,Fora,BÀSQUET,CADET,MIXT,Dissabte,11:00 h,,"BÀSQUET CADET MIXT COPA CEEB 25-26, BÀSQUET CADET MIXT GRUP 02 1a FASE CEEB",gpliego1@la-farga.org
224883,Club Handbol Sant Andreu - BF,HANDBOL BENJAMÍ FEMENÍ 2ª FASE CEEB,,Club Handbol Sant Andreu,Genèrica,Facturada,,,2025-12-16,,1,Nivell C,Escola La Maquinista,1,HANDBOL,BENJAMÍ,FEMENÍ,Dissabte,11:00 h,,HANDBOL BENJAMÍ FEMENÍ GRUP 02 1a FASE CEEB,gerard.esparza@handbolsantandreu.org
224882,Club Handbol Sant Andreu - BM La Maquinista,HANDBOL BENJAMÍ MIXT 2ª FASE CEEB,,Club Handbol Sant Andreu,Genèrica,Facturada,,,2025-12-16,,1,Nivell C,Escola La Maquinista,2,HANDBOL,BENJAMÍ,MIXT,Dissabte,10:00 h,,"HANDBOL BENJAMÍ MIXT COPA CEEB 25-26, HANDBOL BENJAMÍ MIXT GRUP 02 1a FASE CEEB",gerard.esparza@handbolsantandreu.org
224881,Club Handbol Sant Andreu - PBM Negre Pegaso,HANDBOL PREBENJAMÍ MIXT 2ª FASE CEEB,,Club Handbol Sant Andreu,Genèrica,Facturada,,,2025-12-16,,1,Nivell C,Institut Princep de Viana - Escola Pegaso,5,HANDBOL,PREBENJAMÍ,MIXT,Dissabte,11:00 h,,HANDBOL PREBENJAMÍ MIXT GRUP 01 1a FASE CEEB,gerard.esparza@handbolsantandreu.org
